Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20410-il-1000000-n5
Airfoil,sc20410-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,74.6657
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20410-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.750,-1.0016,0.13719,0.13502,0.0099,1.0000,0.0102
-17.500,-1.1342,0.10461,0.10207,-0.0079,1.0000,0.0099
-17.250,-1.1990,0.08701,0.08422,-0.0178,1.0000,0.0098
-17.000,-1.2374,0.07476,0.07175,-0.0254,1.0000,0.0097
-16.750,-1.2636,0.06551,0.06231,-0.0314,1.0000,0.0097
-16.500,-1.2827,0.05843,0.05507,-0.0357,1.0000,0.0097
-16.250,-1.2974,0.05286,0.04934,-0.0386,1.0000,0.0098
-16.000,-1.3080,0.04832,0.04466,-0.0405,1.0000,0.0098
-15.750,-1.3151,0.04451,0.04072,-0.0418,1.0000,0.0099
-15.500,-1.3190,0.04125,0.03734,-0.0425,1.0000,0.0099
-15.250,-1.3201,0.03846,0.03444,-0.0430,1.0000,0.0100
-15.000,-1.3183,0.03605,0.03193,-0.0431,1.0000,0.0101
-14.750,-1.3140,0.03397,0.02975,-0.0431,1.0000,0.0102
-14.500,-1.3080,0.03212,0.02780,-0.0430,1.0000,0.0103
-14.250,-1.3002,0.03048,0.02608,-0.0427,1.0000,0.0104
-14.000,-1.2915,0.02899,0.02451,-0.0422,1.0000,0.0105
-13.750,-1.2824,0.02763,0.02306,-0.0416,1.0000,0.0106
-13.500,-1.2734,0.02635,0.02170,-0.0407,1.0000,0.0107
-13.250,-1.2590,0.02514,0.02039,-0.0407,1.0000,0.0108
-13.000,-1.2420,0.02401,0.01918,-0.0409,1.0000,0.0109
-12.750,-1.2233,0.02298,0.01806,-0.0410,1.0000,0.0110
-12.500,-1.2036,0.02206,0.01706,-0.0410,1.0000,0.0111
-12.250,-1.1831,0.02121,0.01612,-0.0410,1.0000,0.0113
-12.000,-1.1618,0.02042,0.01525,-0.0409,1.0000,0.0114
-11.750,-1.1398,0.01966,0.01442,-0.0409,1.0000,0.0116
-11.500,-1.1171,0.01896,0.01366,-0.0408,1.0000,0.0117
-11.250,-1.0939,0.01830,0.01293,-0.0408,1.0000,0.0118
-11.000,-1.0702,0.01769,0.01225,-0.0408,1.0000,0.0120
-10.750,-1.0460,0.01711,0.01162,-0.0408,1.0000,0.0121
-10.500,-1.0216,0.01657,0.01102,-0.0408,1.0000,0.0122
-10.250,-0.9972,0.01588,0.01028,-0.0408,1.0000,0.0125
-10.000,-0.9723,0.01529,0.00965,-0.0409,1.0000,0.0128
-9.750,-0.9469,0.01478,0.00910,-0.0410,1.0000,0.0132
-9.500,-0.9212,0.01432,0.00862,-0.0411,1.0000,0.0136
-9.250,-0.8952,0.01389,0.00817,-0.0411,1.0000,0.0140
-9.000,-0.8690,0.01349,0.00774,-0.0412,1.0000,0.0144
-8.750,-0.8427,0.01310,0.00732,-0.0413,1.0000,0.0147
-8.500,-0.8162,0.01274,0.00694,-0.0414,1.0000,0.0151
-8.250,-0.7897,0.01239,0.00656,-0.0415,1.0000,0.0155
-8.000,-0.7630,0.01201,0.00617,-0.0416,1.0000,0.0163
-7.750,-0.7363,0.01168,0.00584,-0.0417,1.0000,0.0173
-7.500,-0.7097,0.01138,0.00554,-0.0418,1.0000,0.0183
-7.250,-0.6805,0.01108,0.00523,-0.0423,0.9997,0.0197
-7.000,-0.6482,0.01077,0.00495,-0.0436,0.9988,0.0220
-6.750,-0.6157,0.01049,0.00468,-0.0449,0.9978,0.0242
-6.500,-0.5832,0.01022,0.00443,-0.0461,0.9968,0.0268
-6.250,-0.5504,0.00999,0.00420,-0.0474,0.9957,0.0289
-6.000,-0.5172,0.00973,0.00397,-0.0488,0.9947,0.0319
-5.750,-0.4843,0.00952,0.00376,-0.0501,0.9934,0.0341
-5.500,-0.4520,0.00929,0.00355,-0.0512,0.9915,0.0368
-5.250,-0.4193,0.00907,0.00336,-0.0525,0.9896,0.0395
-5.000,-0.3862,0.00889,0.00317,-0.0537,0.9878,0.0418
-4.750,-0.3529,0.00867,0.00300,-0.0551,0.9862,0.0461
-4.500,-0.3195,0.00848,0.00284,-0.0564,0.9846,0.0502
-4.250,-0.2864,0.00826,0.00267,-0.0577,0.9823,0.0580
-4.000,-0.2547,0.00808,0.00252,-0.0587,0.9781,0.0648
-3.750,-0.2218,0.00789,0.00238,-0.0599,0.9747,0.0723
-3.500,-0.1884,0.00769,0.00224,-0.0612,0.9718,0.0846
-3.250,-0.1562,0.00747,0.00211,-0.0622,0.9667,0.1029
-3.000,-0.1230,0.00719,0.00196,-0.0636,0.9599,0.1360
-2.750,-0.0908,0.00692,0.00183,-0.0647,0.9500,0.1753
-2.500,-0.0594,0.00665,0.00170,-0.0656,0.9361,0.2206
-2.250,-0.0284,0.00633,0.00157,-0.0664,0.9197,0.2848
-2.000,0.0029,0.00597,0.00144,-0.0674,0.9014,0.3652
-1.750,0.0363,0.00541,0.00125,-0.0691,0.8806,0.4946
-1.500,0.0673,0.00519,0.00124,-0.0699,0.8571,0.5830
-1.250,0.0957,0.00525,0.00124,-0.0698,0.8268,0.6098
-1.000,0.1244,0.00534,0.00127,-0.0699,0.7967,0.6300
-0.750,0.1522,0.00554,0.00129,-0.0697,0.7465,0.6422
-0.500,0.1801,0.00577,0.00134,-0.0696,0.6929,0.6516
-0.250,0.2070,0.00623,0.00139,-0.0694,0.5874,0.6567
0.000,0.2337,0.00681,0.00152,-0.0693,0.4606,0.6606
0.250,0.2609,0.00735,0.00166,-0.0693,0.3526,0.6656
0.500,0.2889,0.00772,0.00176,-0.0694,0.2821,0.6707
0.750,0.3171,0.00802,0.00187,-0.0696,0.2262,0.6747
1.000,0.3452,0.00833,0.00199,-0.0697,0.1750,0.6779
1.500,0.4022,0.00877,0.00220,-0.0699,0.1178,0.6825
1.750,0.4307,0.00897,0.00231,-0.0700,0.0977,0.6847
2.000,0.4592,0.00917,0.00242,-0.0701,0.0814,0.6867
2.500,0.5163,0.00951,0.00268,-0.0703,0.0619,0.6898
2.750,0.5448,0.00968,0.00281,-0.0704,0.0552,0.6913
3.000,0.5732,0.00984,0.00296,-0.0705,0.0504,0.6929
3.250,0.6015,0.01002,0.00312,-0.0705,0.0455,0.6944
3.500,0.6299,0.01019,0.00327,-0.0706,0.0421,0.6960
3.750,0.6581,0.01039,0.00344,-0.0706,0.0386,0.6977
4.000,0.6863,0.01056,0.00362,-0.0706,0.0367,0.6994
4.250,0.7145,0.01075,0.00380,-0.0707,0.0343,0.7010
4.500,0.7424,0.01098,0.00400,-0.0706,0.0317,0.7027
4.750,0.7704,0.01116,0.00420,-0.0706,0.0301,0.7043
