Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20712-il-1000000-n5
Airfoil,sc20712-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,80.2071
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20712-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.1395,0.09761,0.09444,-0.0430,1.0000,0.0141
-19.500,-1.1797,0.08649,0.08314,-0.0492,1.0000,0.0141
-19.250,-1.2093,0.07749,0.07397,-0.0543,1.0000,0.0141
-19.000,-1.2303,0.07016,0.06649,-0.0585,1.0000,0.0142
-18.750,-1.2445,0.06421,0.06041,-0.0618,1.0000,0.0142
-18.500,-1.2581,0.05861,0.05467,-0.0649,1.0000,0.0143
-18.250,-1.2683,0.05384,0.04979,-0.0673,1.0000,0.0144
-18.000,-1.2744,0.04985,0.04570,-0.0691,1.0000,0.0145
-17.750,-1.2781,0.04638,0.04212,-0.0704,1.0000,0.0146
-17.500,-1.2790,0.04342,0.03908,-0.0714,1.0000,0.0147
-17.250,-1.2780,0.04085,0.03643,-0.0720,1.0000,0.0149
-17.000,-1.2756,0.03857,0.03407,-0.0724,1.0000,0.0150
-16.750,-1.2718,0.03652,0.03195,-0.0725,1.0000,0.0152
-16.500,-1.2667,0.03468,0.03004,-0.0725,1.0000,0.0153
-16.250,-1.2608,0.03302,0.02832,-0.0722,1.0000,0.0155
-16.000,-1.2547,0.03151,0.02675,-0.0716,1.0000,0.0156
-15.750,-1.2489,0.03013,0.02531,-0.0707,1.0000,0.0158
-15.500,-1.2438,0.02886,0.02398,-0.0695,1.0000,0.0160
-15.250,-1.2396,0.02770,0.02278,-0.0678,1.0000,0.0162
-15.000,-1.2379,0.02667,0.02168,-0.0655,1.0000,0.0163
-14.750,-1.2423,0.02574,0.02071,-0.0619,1.0000,0.0164
-14.500,-1.2387,0.02479,0.01971,-0.0597,0.9995,0.0166
-14.250,-1.2143,0.02374,0.01860,-0.0613,0.9982,0.0168
-14.000,-1.1889,0.02277,0.01757,-0.0630,0.9968,0.0171
-13.750,-1.1622,0.02187,0.01660,-0.0648,0.9956,0.0173
-13.500,-1.1350,0.02086,0.01556,-0.0669,0.9945,0.0178
-13.250,-1.1062,0.02003,0.01469,-0.0689,0.9937,0.0182
-13.000,-1.0780,0.01928,0.01392,-0.0706,0.9925,0.0187
-12.750,-1.0501,0.01860,0.01320,-0.0721,0.9909,0.0192
-12.500,-1.0209,0.01796,0.01252,-0.0737,0.9894,0.0197
-12.250,-0.9908,0.01737,0.01189,-0.0754,0.9882,0.0202
-12.000,-0.9601,0.01683,0.01131,-0.0771,0.9871,0.0207
-11.750,-0.9289,0.01620,0.01066,-0.0790,0.9861,0.0214
-11.500,-0.8972,0.01566,0.01011,-0.0808,0.9853,0.0221
